,PC1,PC2
414C2_C34,29.834440252121603,3.1793665898420924
414C2_C34.1,29.79832147905141,3.169296073409826
414C2_C34.2,21.353890508045815,0.8148478564290383
414C2_DAPT,39.3736295849741,5.839051699862247
414C2_DAPT.1,34.266304506083486,4.415044272147636
414C2_DAPT.2,29.54643604862354,3.099066213684444
414C2_control,39.29103826947433,5.816023863388221
414C2_control.1,39.722382259016484,5.936289762957999
414C2_control.2,35.21014606863463,4.678203044087518
B7_C34,20.883446911538613,0.6836803342135629
B7_C34.1,29.483487321679995,3.0815150585595705
B7_C34.2,20.006575860278204,0.4391940579622841
B7_DAPT,25.154149075874777,1.8744233375730763
B7_DAPT.1,23.231520884369502,1.3383625262585683
B7_DAPT.2,18.907583096058264,0.13277654290688196
B7_control,29.305148036305418,3.031791090904494
B7_control.1,27.274487962434996,2.4656091886976603
B7_control.2,27.74131318148786,2.595767846920404
