,contribution [%],cumulative contribution [%]
PC_1,85.07,85.07
PC_2,3.93,89.00
PC_3,1.50,90.50
PC_4,1.37,91.86
PC_5,1.00,92.87
PC_6,0.91,93.78
PC_7,0.83,94.61
PC_8,0.73,95.34
PC_9,0.67,96.01
PC_10,0.61,96.62
PC_11,0.59,97.21
PC_12,0.57,97.79
PC_13,0.53,98.32
PC_14,0.47,98.78
PC_15,0.45,99.24
PC_16,0.41,99.65
PC_17,0.35,100.00
PC_18,0.00,100.00
