,contribution [%],cumulative contribution [%]
PC_1,47.88,47.88
PC_2,29.13,77.01
PC_3,11.50,88.51
PC_4,7.85,96.36
PC_5,2.68,99.04
PC_6,0.91,99.95
PC_7,0.05,100.00
