,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8
414C2_control,-56.179930931988736,-16.584262339453257,11.352430848514402,-17.510550531596913,1.0951218580587152,-0.5179399379731193,10.616716102376929,-7.515850571466517
414C2_control.1,-52.56988397531544,-15.476217647037737,9.36076378209627,-19.778127051426818,-3.6523469981114602,0.4807518317680899,8.05525144499677,-10.74808785881016
414C2_control.2,-51.858153609470136,-15.11451151245788,11.590039018747417,-14.89410004259591,-3.5797765785513658,-3.5014013207590855,11.162410477266594,27.907329101118215
414C2_DAPT,-55.82240172834539,12.227258818356024,-6.719183978571509,22.036815989883564,37.87975098463296,-12.080176545022292,15.498327901749478,-4.394073114123088
414C2_DAPT.1,-50.5769230879258,11.43059488429443,-9.31265578731518,21.84596116319649,-23.61030902696848,21.910082342188414,18.2603532713446,-2.294849574747624
414C2_DAPT.2,-50.73579954636872,6.6226745944040815,-5.626179194140676,7.138557526436428,4.311042522034853,-7.3845688757424215,-16.755645968275267,19.66701091232588
414C2_C34,-51.14242707933237,10.61195062275087,-9.862067568469936,12.82914185751543,-11.208419349922105,8.84802117662546,-15.655891853931196,2.4037952140015784
414C2_C34.1,-50.379045264133666,4.346277274798157,-7.293517642950075,-3.829080756112613,-0.2739345215108034,0.7111976607199736,-15.217641297301839,-9.364433272948347
414C2_C34.2,-50.72146562568397,6.744771856833159,0.6976214583977441,-10.453397848390546,-2.9930785840864713,-8.216523388222239,-16.215332744501183,-15.424372979944652
B7_control,50.29061810997754,-34.74433987847326,3.426218599060468,14.150465839699269,-4.555285928341987,-4.234718540449703,-4.1044487021310205,0.7951168587428573
B7_control.1,44.95702941106008,-33.95428956508142,9.792165778188545,7.209447339167366,8.24239525966375,7.613336471342952,-9.566355836918826,11.536256512170533
B7_control.2,49.016054664549664,-37.05613790624397,6.887067627651732,14.855859696139953,-0.9208627192568388,-0.018436579536613287,1.9720073172874268,-15.456859782333774
B7_DAPT,57.05065188364301,10.582891721664296,-18.867272587998215,-15.195522570674795,13.23407694480412,24.36405516845881,7.399980165311866,5.572510831469837
B7_DAPT.1,54.618649111007,10.46846551643433,-4.533897930207581,-0.8638866754123676,-9.42499571861561,-12.323921089974924,5.960389896742492,-3.208676180686126
B7_DAPT.2,56.589745641801144,5.123543016473398,-17.59893313302288,-15.930674781069579,12.429637943475159,9.979649797566221,-7.126718155316396,-5.82948446065724
B7_C34,54.63827736321601,8.133179410387456,-17.64194106102207,-3.8085155200323166,-7.497050614627041,-11.534215949654794,0.7398352141535657,5.522734735399297
B7_C34.1,47.970614622395985,44.1228522886041,48.81718642465154,3.8354331684925507,3.829318647146071,8.905468630112955,-4.293850236289557,-0.5945856041191027
B7_C34.2,54.85439004091378,22.515298843747132,-4.467844653610007,-1.637826803219162,-13.305284119823469,-23.000660851447673,9.270613003435567,1.426519234608439
