,contribution [%],cumulative contribution [%]
PC_1,61.55,61.55
PC_2,21.55,83.09
PC_3,14.26,97.35
PC_4,1.75,99.11
PC_5,0.58,99.69
PC_6,0.29,99.98
PC_7,0.02,100.00
